Index," ""Year"""," ""Age"""," ""Name"""," ""Movie""",,Gender
1, 1928, 44," ""Emil Jannings"""," ""The Last Command","[' The Way of All Flesh""']",M
2, 1928, 22," ""Janet Gaynor"""," ""Seventh Heaven","[' Street Angel and Sunrise: A Song of Two Humans""']",F
3, 1929, 41," ""Warner Baxter"""," ""In Old Arizona""",,M
4, 1929, 37," ""Mary Pickford"""," ""Coquette""",,F
5, 1930, 62," ""George Arliss"""," ""Disraeli""",,M
6, 1930, 28," ""Norma Shearer"""," ""The Divorcee""	",,F
7, 1931, 53," ""Lionel Barrymore"""," ""A Free Soul""",,M
8, 1931, 63," ""Marie Dressler"""," ""Min and Bill""",,F
9, 1932, 47," ""Wallace Beery"""," ""The Champ""",,M
10, 1932, 32," ""Helen Hayes"""," ""The Sin of Madelon Claudet""	",,F
11, 1933, 35," ""Fredric March"""," ""Dr. Jekyll and Mr. Hyde""",,M
12, 1933, 26," ""Katharine Hepburn"""," ""Morning Glory""",,F
13, 1934, 34," ""Charles Laughton"""," ""The Private Life of Henry VIII""",,M
14, 1934, 31," ""Claudette Colbert"""," ""It Happened One Night""",,F
15, 1935, 34," ""Clark Gable"""," ""It Happened One Night""",,M
16, 1935, 27," ""Bette Davis"""," ""Dangerous""",,F
17, 1936, 49," ""Victor McLaglen"""," ""The Informer""	",,M
18, 1936, 27," ""Luise Rainer"""," ""The Great Ziegfeld""",,F
19, 1937, 41," ""Paul Muni"""," ""The Story of Louis Pasteur""	",,M
20, 1937, 28," ""Luise Rainer"""," ""The Good Earth""",,F
21, 1938, 37," ""Spencer Tracy"""," ""Captains Courageous""",,M
22, 1938, 30," ""Bette Davis"""," ""Jezebel""",,F
23, 1939, 38," ""Spencer Tracy"""," ""Boys Town""",,M
24, 1939, 26," ""Vivien Leigh"""," ""Gone with the Wind""",,F
25, 1940, 34," ""Robert Donat"""," ""Goodbye","[' Mr. Chips""\t']",M
26, 1940, 29," ""Ginger Rogers"""," ""Kitty Foyle""",,F
27, 1941, 32," ""James Stewart"""," ""The Philadelphia Story""",,M
28, 1941, 24," ""Joan Fontaine"""," ""Suspicion""	",,F
29, 1942, 40," ""Gary Cooper"""," ""Sergeant York""",,M
30, 1942, 38," ""Greer Garson"""," ""Mrs. Miniver""",,F
31, 1943, 43," ""James Cagney"""," ""Yankee Doodle Dandy""	",,M
32, 1943, 25," ""Jennifer Jones"""," ""The Song of Bernadette""",,F
33, 1944, 48," ""Paul Lukas"""," ""Watch on the Rhine""	",,M
34, 1944, 29," ""Ingrid Bergman"""," ""Gaslight""",,F
35, 1945, 41," ""Bing Crosby"""," ""Going My Way""",,M
36, 1945, 40," ""Joan Crawford"""," ""Mildred Pierce""",,F
